code,date,open,low,close,high
USDCNY.IB,2019/7/1 16:39,6.8438,6.8422,6.8422,6.8438
USDCNY.IB,2019/7/1 16:43,6.843,6.843,6.843,6.843
USDCNY.IB,2019/7/1 16:50,6.8435,6.8424,6.8428,6.844
USDCNY.IB,2019/7/1 16:52,6.8432,6.8432,6.8432,6.8432
USDCNY.IB,2019/7/1 17:00,6.8434,6.8434,6.8438,6.8438
USDCNY.IB,2019/7/1 17:03,6.844,6.8439,6.8439,6.844
USDCNY.IB,2019/7/1 17:07,6.8446,6.8446,6.8446,6.8446
USDCNY.IB,2019/7/1 17:15,6.8442,6.8439,6.845,6.845
USDCNY.IB,2019/7/1 17:19,6.8446,6.8446,6.8446,6.8446
USDCNY.IB,2019/7/1 17:25,6.8457,6.8451,6.8454,6.846
USDCNY.IB,2019/7/1 17:27,6.846,6.8455,6.8455,6.846
USDCNY.IB,2019/7/1 17:40,6.8453,6.8449,6.8449,6.8455
USDCNY.IB,2019/7/1 17:42,6.8453,6.8453,6.8453,6.8453
USDCNY.IB,2019/7/1 17:52,6.846,6.846,6.8463,6.8463
USDCNY.IB,2019/7/1 18:05,6.8453,6.8453,6.8453,6.8453
USDCNY.IB,2019/7/1 18:39,6.8462,6.8462,6.8462,6.8462
USDCNY.IB,2019/7/1 18:42,6.845,6.845,6.845,6.845
USDCNY.IB,2019/7/1 18:58,6.8443,6.8443,6.8443,6.8443
USDCNY.IB,2019/7/1 19:08,6.843,6.843,6.843,6.843
USDCNY.IB,2019/7/1 19:13,6.8422,6.8415,6.8415,6.8422
USDCNY.IB,2019/7/1 19:59,6.842,6.842,6.842,6.842
USDCNY.IB,2019/7/1 20:09,6.8418,6.8418,6.8418,6.8418
USDCNY.IB,2019/7/1 20:15,6.842,6.842,6.842,6.842
USDCNY.IB,2019/7/1 20:18,6.8418,6.8418,6.8418,6.8418
USDCNY.IB,2019/7/1 20:29,6.842,6.842,6.842,6.842
USDCNY.IB,2019/7/1 20:40,6.8416,6.8416,6.8416,6.8416
USDCNY.IB,2019/7/1 20:48,6.8413,6.8413,6.8413,6.8413
USDCNY.IB,2019/7/1 20:54,6.8418,6.8418,6.8418,6.8418
USDCNY.IB,2019/7/1 21:00,6.8413,6.841,6.841,6.8418
USDCNY.IB,2019/7/1 21:05,6.8408,6.8408,6.841,6.841
USDCNY.IB,2019/7/1 21:08,6.8408,6.8408,6.8408,6.8408
USDCNY.IB,2019/7/1 21:14,6.841,6.841,6.841,6.841
USDCNY.IB,2019/7/1 21:19,6.8411,6.8411,6.8411,6.8411
